UserID,Badges_Earned,Points,Posts_Week,Feedback_Given,Health_Literacy
35054a26,5,0–100,7,Yes,Medium
4c9a889b,0,0–100,10,No,Low
e3b95b21,1,101–300,12,Yes,Low
62cd9850,7,0–100,6,No,High
4d6058bf,6,301–500,16,Yes,Medium
020e2408,10,301–500,3,Yes,Low
7bfae213,2,0–100,11,Yes,Medium
8c147e61,2,301–500,5,Yes,Low
c10eb130,10,301–500,8,Yes,Low
0d9cd9b4,6,0–100,17,Yes,Low
d9a8dcdb,5,101–300,16,No,High
da13c6f3,2,101–300,16,Yes,High
f253bfc4,9,301–500,14,No,High
62b8948a,1,301–500,8,Yes,Medium
95cdb454,3,101–300,13,No,Low
36d143ee,3,101–300,3,No,Medium
10354615,7,0–100,19,No,High
2b7a804b,7,0–100,1,Yes,Low
37c8ce3e,3,0–100,6,Yes,Low
f46e3c2f,4,301–500,7,No,High
282f1407,1,0–100,8,No,Low
78cb0547,4,101–300,1,No,Low
98aa45a9,3,301–500,14,Yes,Medium
0c0912c9,4,101–300,5,No,Medium
7966cabb,2,0–100,1,No,Medium
3937f907,7,101–300,12,Yes,High
be8af10d,0,301–500,1,No,High
7b0bfef8,0,0–100,2,No,Medium
d00a9cb9,1,101–300,3,No,Low
72ddea2f,3,0–100,18,No,Low
e53d5ba8,0,301–500,3,Yes,Medium
8f357347,3,0–100,4,Yes,Low
59597d77,6,301–500,13,Yes,High
317153a4,6,0–100,10,Yes,Medium
d7bdde63,8,0–100,3,No,Medium
2ce38054,6,101–300,7,Yes,Medium
147b21b9,2,301–500,2,Yes,Low
0e5daa85,7,101–300,4,No,Medium
5a9996a1,2,101–300,0,No,Low
58c0532d,1,101–300,4,Yes,High
38772528,6,0–100,9,No,Medium
015250ff,0,101–300,5,Yes,High
5b9f986b,10,301–500,11,Yes,High
0038f92d,1,0–100,12,Yes,High
80ac1836,5,301–500,6,Yes,Low
e317567e,6,301–500,10,Yes,Low
f036a4b5,3,301–500,3,Yes,Medium
2395eee2,7,0–100,15,No,High
c173f45f,9,101–300,1,No,Medium
91884a11,4,301–500,16,No,High
ae7b77cd,5,0–100,11,Yes,Medium
747362d1,9,0–100,20,Yes,Medium
cee6349e,3,101–300,11,Yes,Medium
d13f0979,8,0–100,7,Yes,High
397cf804,7,301–500,16,No,Medium
e2804eb7,9,301–500,11,No,High
891d9b79,7,0–100,9,No,High
f4ce8124,10,101–300,6,No,High
bd7fb764,1,301–500,19,No,High
f9216292,3,101–300,20,Yes,Low
8e3d8fa3,6,0–100,1,Yes,Medium
618c6533,4,0–100,2,No,Medium
fd4f1c96,1,0–100,1,Yes,Medium
1eed537c,0,101–300,13,No,Low
44e42b09,8,0–100,5,Yes,Medium
63a12baf,10,101–300,10,No,High
4097b8f7,1,301–500,2,No,High
25986b45,4,101–300,20,Yes,High
0b677a14,9,301–500,1,Yes,Medium
4fd1bb5f,2,0–100,11,Yes,Low
16d59dda,1,101–300,17,Yes,Low
fea0448d,3,0–100,5,No,Low
eedcc75e,6,0–100,12,Yes,Low
fa3d8b0b,0,101–300,0,No,High
ba471b87,7,301–500,8,Yes,Medium
1078b301,9,301–500,8,No,High
2afb64dd,1,301–500,13,Yes,Medium
b0f4009c,2,301–500,17,Yes,High
1316ae4f,2,101–300,5,Yes,High
98437802,9,0–100,8,Yes,High
8d2426d1,8,301–500,14,No,High
b3f5a536,3,101–300,18,Yes,Low
c65b0656,10,0–100,7,No,High
b01f3f53,3,101–300,20,Yes,High
9fc1ce65,8,0–100,2,No,Low
faa0877a,9,0–100,11,Yes,High
d0829452,1,301–500,1,Yes,Medium
3e4b54d7,4,101–300,11,No,Medium
4360cc5e,5,101–300,11,Yes,High
2ef17fe2,3,301–500,12,Yes,Medium
10fcf050,7,301–500,14,No,Medium
2c8d879a,0,0–100,4,Yes,Low
8f831271,1,301–500,10,Yes,Low
0ed68c03,0,301–500,19,Yes,Medium
f3773636,10,0–100,6,Yes,Low
c4a9fd24,3,301–500,2,Yes,Low
2bd8f2ce,8,101–300,20,No,Low
0f7dd2d6,0,101–300,3,No,High
17461973,4,0–100,18,No,Medium
bd2d427d,10,301–500,20,No,Medium
